dateKind,dateName,isHoliday,locdate,seq,remarks,kst,sunLongitude
1,1월1일,Y,20220101,1,,,
1,설날,Y,20220131,1,,,
1,설날,Y,20220201,1,,,
1,설날,Y,20220202,1,,,
1,삼일절,Y,20220301,1,,,
1,대통령선거일,Y,20220309,1,,,
1,어린이날,Y,20220505,1,,,
1,부처님오신날,Y,20220508,1,,,
1,전국동시지방선거,Y,20220601,1,,,
1,현충일,Y,20220606,1,,,
1,제헌절,N,20220717,1,국경일이지만 공휴일 아님,,
1,광복절,Y,20220815,1,,,
1,추석,Y,20220909,1,,,
1,추석,Y,20220910,1,,,
1,추석,Y,20220911,1,,,
1,대체공휴일,Y,20220912,1,,,
1,개천절,Y,20221003,1,,,
1,한글날,Y,20221009,1,,,
1,대체공휴일,Y,20221010,3,,,
1,기독탄신일,Y,20221225,1,,,
2,2·28 민주운동 기념일,N,20220228,1,,,
2,납세자의 날,N,20220303,1,,,
2,3·8 민주의거 기념일,N,20220308,1,,,
2,3·15 의거 기념일,N,20220315,1,,,
2,상공의 날,N,20220316,1,,,
2,서해수호의 날,N,20220325,1,,,
2,예비군의 날,N,20220401,1,,,
2,4·3희생자 추념일,N,20220403,1,,,
2,식목일,N,20220405,1,,,
2,보건의 날,N,20220407,1,,,
2,도시농업의 날,N,20220411,1,,,
2,대한민국임시정부 수립기념일,N,20220411,2,,,
2,4·19 혁명 기념일,N,20220419,1,,,
2,장애인의 날,N,20220420,1,,,
2,과학의 날,N,20220421,1,,,
2,정보통신의 날,N,20220422,1,,,
2,법의 날,N,20220425,1,,,
2,충무공 이순신 탄신일,N,20220428,1,,,
2,근로자의 날,N,20220501,1,,,
2,어버이 날,N,20220508,2,,,
2,유권자의 날,N,20220510,1,,,
2,동학농민혁명 기념일,N,20220511,1,,,
2,식품안전의 날,N,20220514,1,,,
2,스승의 날,N,20220515,1,,,
2,성년의 날,N,20220516,1,,,
2,5·18 민주화운동 기념일,N,20220518,1,,,
2,발명의 날,N,20220519,1,,,
2,부부의 날,N,20220521,1,,,
2,바다의 날,N,20220531,1,,,
2,의병의 날,N,20220601,2,,,
2,환경의 날,N,20220605,1,,,
2,구강보건의 날,N,20220609,1,,,
2,6·10 민주항쟁 기념일,N,20220610,1,,,
2,전자정부의 날,N,20220624,1,,,
2,6·25 전쟁일,N,20220625,1,,,
2,마약퇴치의 날,N,20220626,1,,,
2,철도의 날,N,20220628,1,,,
2,인구의 날,N,20220711,1,,,
2,정보보호의 날,N,20220713,1,,,
2,섬의 날,N,20220808,1,,,
2,사회복지의 날,N,20220907,1,,,
2,곤충의 날,N,20220907,2,,,
2,해양경찰의 날,N,20220910,2,,,
2,국군의 날,N,20221001,1,,,
2,노인의 날,N,20221002,1,,,
2,세계한인의 날,N,20221005,1,,,
2,재향군인의 날,N,20221008,1,,,
2,임산부의 날,N,20221010,1,,,
2,정신건강의 날,N,20221010,2,,,
2,체육의 날,N,20221015,1,,,
2,문화의 날,N,20221015,2,,,
2,부마민주항쟁 기념일,N,20221016,1,,,
2,경찰의 날,N,20221021,1,,,
2,국제연합일,N,20221024,1,,,
2,금융의 날,N,20221025,1,,,
2,교정의 날,N,20221028,1,,,
2,지방자치의 날,N,20221029,1,,,
2,학생독립운동 기념일,N,20221103,1,,,
2,소방의 날,N,20221109,1,,,
2,농업인의 날,N,20221111,1,,,
2,순국선열의 날,N,20221117,1,,,
2,아동학대예방의 날,N,20221119,1,,,
2,소비자의 날,N,20221203,1,,,
2,무역의 날,N,20221205,1,,,
2,자원봉사자의 날,N,20221205,2,,,
2,원자력 안전 및 진흥의 날,N,20221227,1,,,
3,소한,N,20220105,1,,1814.0,285.0
3,대한,N,20220120,1,,1139.0,300.0
3,입춘,N,20220204,1,,551.0,315.0
3,우수,N,20220219,1,,143.0,330.0
3,경칩,N,20220305,1,,2344.0,345.0
3,춘분,N,20220321,1,,33.0,0.0
3,청명,N,20220405,2,,420.0,15.0
3,곡우,N,20220420,2,,1124.0,30.0
3,입하,N,20220505,2,,2126.0,45.0
3,소만,N,20220521,2,,1023.0,60.0
3,망종,N,20220606,2,,126.0,75.0
3,하지,N,20220621,1,,1814.0,90.0
3,소서,N,20220707,1,,1138.0,105.0
3,대서,N,20220723,1,,507.0,120.0
3,입추,N,20220807,1,,2129.0,135.0
3,처서,N,20220823,1,,1216.0,150.0
3,백로,N,20220908,1,,32.0,165.0
3,추분,N,20220923,1,,1004.0,180.0
3,한로,N,20221008,2,,1622.0,195.0
3,상강,N,20221023,1,,1936.0,210.0
3,입동,N,20221107,1,,1945.0,225.0
3,소설,N,20221122,1,,1720.0,240.0
3,대설,N,20221207,1,,1246.0,255.0
3,동지,N,20221222,1,,648.0,270.0
4,정월대보름,N,20220215,1,,,
4,한식,N,20220406,1,,,
4,단오,N,20220603,1,,,
4,초복,N,20220716,1,,,
4,중복,N,20220726,1,,,
4,칠석,N,20220804,1,,,
4,말복,N,20220815,2,,,
